id	filename	md5	size	state
7febde64-1d73-4dc7-9644-1ffb7d429cd5	nationwidechildrens.org_ssf.TCGA-BH-AB28.xml	32b39e07e37a980bdd13c7c2fa088c95	17983	released
a5de88c5-efb1-47ad-90f1-8b04d94bd4ba	nationwidechildrens.org_ssf.TCGA-C8-A12P.xml	2b74143c4176ac35683ed540bee9cdbe	15708	released
1bc63419-d3c8-42d7-a46a-79d37bd069c5	nationwidechildrens.org_ssf.TCGA-EW-A1IX.xml	6476b8c4908c10a57c80ba221ca18da0	15767	released
5f0eeea4-f57c-45fa-9c7f-2cf940272402	nationwidechildrens.org_ssf.TCGA-EW-A1IW.xml	95a98905df0e5b57072822fdfbc9d0d5	15701	released
28c6c859-38a9-4410-af88-409ad80624c2	nationwidechildrens.org_ssf.TCGA-A7-A5ZW.xml	50f12a447dd106041014a85ebfc0a512	14784	released
dade42ea-25f7-4199-9df9-ebf1ed2bf780	nationwidechildrens.org_ssf.TCGA-A7-A3J0.xml	59da37319ada8318bd9178225a22b10e	15670	released
c4eba2ff-f0e5-40ed-ab88-3601d71d17ce	nationwidechildrens.org_ssf.TCGA-A7-A3IZ.xml	071576986800b1e637040194aacbc35c	15682	released
42e63c90-510e-4a69-b80f-8c815786a00f	nationwidechildrens.org_ssf.TCGA-E9-A2JS.xml	a71c039333c44d16e8a733041007e553	15670	released
63d69fa1-f03b-46e9-b276-a42e137e2393	nationwidechildrens.org_ssf.TCGA-E2-A108.xml	7b1031a0bf68ff5831d1e8f04ea799ea	15729	released
59374791-bb38-43fb-bd71-3f0c21c77826	nationwidechildrens.org_ssf.TCGA-OL-A6VR.xml	655fd41eccb4f53d7e90ea347c03defb	15066	released
4944c22e-ef45-497b-a409-5b8934692740	nationwidechildrens.org_ssf.TCGA-GM-A2DO.xml	a11083e704298a64da566e5d8a01f429	15752	released
50e0de77-7b9d-46f3-b4e6-575ce18ebc4c	nationwidechildrens.org_ssf.TCGA-LL-A5YO.xml	3803c478caa06800464082b3f2f42f1b	14784	released
73251697-3208-4c3c-918d-ec5f6cfea729	nationwidechildrens.org_ssf.TCGA-D8-A27H.xml	13d0acc75ac04a3053c48b37b97b3fa5	15639	released
fb3f3c0d-e524-4eb3-b588-3667daaa0398	nationwidechildrens.org_ssf.TCGA-A8-A08B.xml	57bb8fd2c4d8fdc38ad03a37a004e3e6	15708	released
b3c8bb72-198f-4c56-8769-61cca8cc06d9	nationwidechildrens.org_ssf.TCGA-A8-A08H.xml	97c85a7451c50bd8dbd8e1d43380482f	15703	released
034c1b31-2906-461c-b10f-766d8b74a728	nationwidechildrens.org_ssf.TCGA-E2-A1LI.xml	a882025a43ab9abce7b58c6580dccf9b	15742	released
b4f85d7e-54d6-44e9-ba29-b9390b72a782	nationwidechildrens.org_ssf.TCGA-BH-A1FC.xml	53cb329a248f1e53b254fded1f0bed4b	15709	released
c37e588e-f3c6-40e5-a3d1-8964b143820c	nationwidechildrens.org_ssf.TCGA-BH-A0HN.xml	1c499dd24576fc3298b9962c55316a83	15630	released
4b1bbe65-6191-49dd-9994-76e4db3cebaa	nationwidechildrens.org_ssf.TCGA-AO-A0J7.xml	3a326174b673e34547fb45854405821e	15717	released
9c5325ea-2810-4375-88d0-48526fe38bb0	nationwidechildrens.org_ssf.TCGA-OL-A5RV.xml	9e2eb8328bd7af0ccdcbbd5087d69c66	15071	released
ae843b13-eb3f-4d67-aa1d-2a33af9d1678	nationwidechildrens.org_ssf.TCGA-A2-A3XY.xml	3f1bc5e3edcb17e2e2a2f2b07d327c84	15068	released
513c3883-b67a-406a-95db-3f5ed9880cd6	nationwidechildrens.org_ssf.TCGA-BH-A208.xml	6b9ecb2db82df16d3d3189f672fa5d2a	15758	released
a8781946-4920-48dd-9e5b-0a364ea550dc	nationwidechildrens.org_ssf.TCGA-D8-A1XK.xml	43cfe4de76b6f3ae20d101f42b07388f	15660	released
d250c4c5-5191-4a39-94ea-76db3e98ca02	nationwidechildrens.org_ssf.TCGA-E2-A15I.xml	b9879f6f77e1230e0933e0c41f46afc8	18968	released
94b7db4a-d80e-4824-a453-6b93104dca0e	nationwidechildrens.org_ssf.TCGA-A8-A086.xml	2272fe7a8382435d3b586959d65dc73d	15708	released
e49217d8-e849-4342-ad76-dfeb5b00cfc3	nationwidechildrens.org_ssf.TCGA-EW-A1J1.xml	0c2836324182d567cc8f1ea5344c5706	15700	released
d22f81cf-1940-43d6-a632-215310bcd5fc	nationwidechildrens.org_ssf.TCGA-BH-A203.xml	a288842e490189744364b14dd4f01a87	15776	released
637c4791-93d4-4516-a327-3a2ca911a677	nationwidechildrens.org_ssf.TCGA-A8-A099.xml	4147980a225982f065f2bf898e681a0c	15705	released
951d3af2-8e65-4bd5-b4fd-d48c0527317f	nationwidechildrens.org_ssf.TCGA-C8-A27B.xml	be49de68e0ec75af24cf2dd5f36eb293	15677	released
9aa30ed4-07d5-4456-a7bc-c9f11313417a	nationwidechildrens.org_ssf.TCGA-A8-A08F.xml	8980538a1fd4276071326ee69896ffd7	15735	released
fb7d38cb-3060-4700-881d-097c92e55f56	nationwidechildrens.org_ssf.TCGA-PL-A8LY.xml	2663dcdff0fbef3431d0861c5e5f4a26	15064	released
88e56b37-c344-4ff9-a34c-e42f56ef86c5	nationwidechildrens.org_ssf.TCGA-A2-A0D4.xml	cc8f9ad36de4db5ce52bf5ddfa749596	15720	released
739cbf1b-889a-4799-84e3-96b16d1ac601	nationwidechildrens.org_ssf.TCGA-AR-A1AJ.xml	d9815d4400566e6ed5d05333686ecf15	15723	released
6266607c-5caa-4bea-be2e-74271846c171	nationwidechildrens.org_ssf.TCGA-C8-A137.xml	907bf80a9b7f2570af929b449f073170	15701	released
3abd8e66-2847-4de9-95a2-c103c77c4926	nationwidechildrens.org_ssf.TCGA-AC-A23C.xml	2a425b8549e65c7be9ae5b425cb2a8de	15667	released
155cd8fd-75bf-44e9-b9a1-b7de8088fafb	nationwidechildrens.org_ssf.TCGA-AR-A24K.xml	2b292e5b3371562c6fec38219016320c	15834	released
ca4f1637-07f0-4a16-9bbb-bc45c3479018	nationwidechildrens.org_ssf.TCGA-EW-A1OY.xml	f74f9605f5c2756cdc02e09c5c80018a	15677	released
b3a43046-68f8-466b-b45f-b7b4e1be18b1	nationwidechildrens.org_ssf.TCGA-BH-A18R.xml	a5fba1c87cbb31a472858f6ea74f3d3e	15703	released
